episode,return,length
960,-10.0,71
961,-4.0,79
962,-15.0,35
963,6.0,129
964,-8.0,71
965,-15.0,43
966,-10.0,71
967,-15.0,43
968,-10.0,61
969,1.0,127
970,-14.0,43
971,-15.0,39
972,-14.0,43
973,-15.0,43
974,-5.0,99
975,23.0,235
976,-10.0,71
977,-15.0,35
978,-15.0,43
979,-9.0,69
980,-15.0,37
981,-14.0,43
982,-15.0,34
983,-15.0,43
984,-10.0,66
985,-15.0,32
986,6.0,154
987,-5.0,80
988,-15.0,43
989,-10.0,71
990,5.0,154
991,-15.0,31
992,-15.0,43
993,-15.0,42
994,-10.0,71
995,-5.0,99
996,-15.0,43
997,1.0,127
998,0.0,127
999,-4.0,99
1000,-15.0,39
1001,-15.0,36
1002,7.0,154
1003,12.0,181
1004,5.0,154
1005,10.0,181
1006,-8.0,71
1007,32.0,273
1008,-4.0,99
1009,33.0,288
1010,-15.0,43
1011,-14.0,43
1012,2.0,127
1013,16.0,208
1014,-10.0,45
1015,11.0,181
1016,-15.0,40
1017,-15.0,43
1018,33.0,263
1019,-5.0,93
1020,-15.0,43
1021,40.0,330
1022,-14.0,43
1023,-4.0,99
1024,-15.0,43
1025,11.0,181
1026,-10.0,47
1027,17.0,208
1028,-9.0,71
1029,-14.0,43
1030,1.0,101
1031,-15.0,39
1032,30.0,288
1033,-8.0,71
1034,5.0,154
1035,-15.0,43
1036,-10.0,71
1037,-15.0,43
1038,-15.0,43
1039,-9.0,71
1040,-10.0,71
1041,0.0,127
1042,-15.0,43
1043,27.0,262
1044,-10.0,71
1045,-10.0,58
1046,-10.0,71
1047,-3.0,99
1048,2.0,127
1049,13.0,181
1050,-15.0,38
1051,-15.0,43
1052,5.0,154
1053,0.0,107
1054,-5.0,99
1055,-10.0,57
1056,13.0,181
1057,-4.0,99
1058,-10.0,69
1059,32.0,288
1060,-15.0,43
1061,10.0,158
1062,37.0,314
1063,-15.0,38
1064,-15.0,43
1065,-15.0,43
1066,-15.0,43
1067,-5.0,99
1068,-4.0,97
1069,-15.0,35
1070,-5.0,99
1071,-15.0,24
1072,-10.0,71
1073,-15.0,38
1074,8.0,154
1075,-10.0,71
1076,-5.0,99
1077,-15.0,43
1078,1.0,127
1079,-5.0,99
1080,7.0,154
1081,5.0,154
1082,-5.0,99
1083,2.0,127
1084,28.0,262
1085,10.0,154
1086,-8.0,71
1087,65.0,468
1088,10.0,181
1089,-10.0,71
1090,20.0,235
1091,10.0,181
1092,0.0,127
1093,-4.0,99
1094,15.0,208
1095,-10.0,71
1096,-15.0,43
1097,-14.0,43
1098,25.0,262
1099,-5.0,83
1100,-15.0,38
1101,30.0,288
1102,-15.0,43
1103,-14.0,43
1104,-15.0,43
1105,12.0,162
1106,-9.0,71
1107,-5.0,82
1108,-4.0,99
1109,-9.0,71
1110,-15.0,38
1111,-5.0,78
1112,-15.0,43
1113,-14.0,43
1114,-15.0,39
1115,36.0,314
1116,-5.0,99
1117,1.0,127
1118,-15.0,43
1119,-5.0,99
1120,-15.0,40
1121,-8.0,71
1122,41.0,341
1123,25.0,262
1124,0.0,127
1125,-10.0,55
1126,1.0,127
1127,21.0,235
1128,26.0,262
1129,-15.0,24
1130,25.0,262
1131,15.0,208
1132,15.0,208
1133,16.0,208
1134,-15.0,43
1135,-3.0,99
1136,-5.0,81
1137,-5.0,99
1138,35.0,297
1139,32.0,288
1140,-15.0,43
1141,15.0,208
1142,-15.0,43
1143,-5.0,89
1144,2.0,127
1145,-15.0,38
1146,-15.0,43
1147,12.0,181
1148,-5.0,96
1149,-4.0,93
1150,-5.0,99
1151,-10.0,69
1152,-15.0,43
1153,-15.0,43
1154,0.0,127
1155,-15.0,43
1156,15.0,208
1157,-10.0,71
1158,-5.0,99
1159,-15.0,24
1160,-15.0,24
1161,-10.0,71
1162,-5.0,76
1163,10.0,181
1164,-5.0,99
1165,-15.0,43
1166,-14.0,43
1167,-10.0,71
1168,-4.0,99
1169,17.0,208
1170,5.0,154
1171,-5.0,99
1172,5.0,154
1173,37.0,314
1174,16.0,208
1175,22.0,235
1176,-15.0,43
1177,-5.0,93
1178,-4.0,99
1179,-5.0,87
1180,20.0,235
1181,0.0,127
1182,15.0,208
1183,-4.0,99
1184,-15.0,40
1185,-8.0,71
1186,-10.0,71
1187,22.0,235
1188,0.0,127
1189,10.0,181
1190,1.0,127
1191,70.0,493
1192,-4.0,99
1193,-14.0,43
1194,-5.0,99
1195,0.0,127
1196,-10.0,71
1197,-15.0,43
1198,-15.0,43
1199,-15.0,43
1200,-10.0,71
1201,-5.0,99
1202,20.0,235
1203,-10.0,71
1204,1.0,127
1205,1.0,127
1206,1.0,127
1207,-15.0,43
1208,-5.0,99
1209,20.0,235
1210,-15.0,43
1211,-10.0,71
1212,15.0,208
1213,5.0,154
1214,5.0,154
1215,-5.0,99
1216,-10.0,47
1217,60.0,443
1218,-15.0,43
1219,25.0,262
1220,-10.0,71
1221,-15.0,43
1222,-5.0,99
1223,-15.0,36
1224,10.0,181
1225,-10.0,71
1226,0.0,127
1227,58.0,417
1228,-5.0,99
1229,-10.0,71
1230,-15.0,43
1231,-15.0,43
1232,-4.0,99
1233,35.0,314
1234,0.0,127
1235,1.0,127
1236,15.0,208
1237,-5.0,99
1238,5.0,154
1239,-14.0,43
1240,0.0,127
1241,28.0,262
1242,10.0,181
1243,2.0,127
1244,-5.0,95
1245,0.0,127
1246,6.0,154
1247,-10.0,71
1248,6.0,154
1249,-10.0,64
1250,10.0,181
1251,-5.0,99
1252,-5.0,99
1253,-10.0,71
1254,20.0,235
1255,0.0,127
1256,11.0,181
1257,-5.0,99
1258,-14.0,43
1259,-5.0,99
1260,-10.0,52
1261,-10.0,71
1262,0.0,127
1263,-15.0,43
1264,38.0,314
1265,37.0,314
1266,1.0,127
1267,-10.0,71
1268,-14.0,43
1269,-14.0,43
1270,11.0,181
1271,10.0,181
1272,1.0,110
1273,25.0,261
1274,6.0,154
1275,-9.0,70
1276,50.0,376
1277,2.0,127
1278,5.0,154
1279,-5.0,99
1280,-10.0,71
1281,-10.0,71
1282,11.0,159
1283,31.0,288
1284,25.0,262
1285,47.0,366
1286,1.0,127
1287,-14.0,43
1288,-10.0,71
1289,25.0,262
1290,-10.0,71
1291,-10.0,71
1292,-10.0,71
1293,1.0,127
1294,-4.0,99
1295,15.0,208
1296,-15.0,43
1297,6.0,154
1298,-10.0,71
1299,-10.0,71
1300,6.0,154
1301,0.0,127
1302,32.0,288
1303,5.0,154
1304,39.0,314
1305,10.0,181
1306,-14.0,43
1307,10.0,181
1308,10.0,181
1309,32.0,288
1310,12.0,181
1311,0.0,127
1312,0.0,127
1313,1.0,127
1314,-5.0,99
1315,-15.0,43
1316,-5.0,99
1317,10.0,181
1318,-15.0,43
1319,-10.0,71
1320,6.0,140
1321,6.0,151
1322,20.0,235
1323,1.0,127
1324,-4.0,82
1325,-5.0,99
1326,35.0,314
1327,52.0,392
1328,6.0,154
1329,-10.0,71
1330,-14.0,43
1331,-15.0,43
1332,1.0,127
1333,5.0,130
1334,-14.0,43
1335,-15.0,43
1336,-5.0,99
1337,-10.0,71
1338,-15.0,43
1339,5.0,154
1340,20.0,210
1341,-10.0,44
1342,20.0,235
1343,6.0,154
1344,-15.0,43
1345,-9.0,71
1346,11.0,155
1347,-9.0,50
1348,-9.0,71
1349,-14.0,43
1350,-9.0,71
1351,18.0,208
1352,-10.0,71
1353,-15.0,43
1354,15.0,208
1355,-15.0,43
1356,10.0,181
1357,-5.0,99
1358,-15.0,43
1359,-15.0,24
1360,42.0,341
1361,0.0,127
1362,15.0,208
1363,8.0,154
1364,-15.0,43
1365,5.0,131
1366,-10.0,71
1367,-10.0,69
1368,-15.0,43
1369,10.0,170
1370,5.0,153
1371,10.0,181
1372,-15.0,43
1373,-10.0,71
1374,7.0,154
1375,-3.0,85
1376,12.0,173
1377,5.0,147
1378,-4.0,99
1379,7.0,154
1380,-5.0,99
1381,-9.0,71
1382,-15.0,43
1383,1.0,127
1384,-15.0,43
1385,12.0,181
1386,1.0,127
1387,-15.0,38
1388,0.0,127
1389,10.0,181
1390,1.0,127
1391,-15.0,31
1392,-10.0,53
1393,0.0,127
1394,-9.0,71
1395,-9.0,63
1396,5.0,154
1397,-3.0,85
1398,-15.0,43
1399,-10.0,71
1400,-15.0,43
1401,-10.0,71
1402,-10.0,71
1403,-9.0,57
1404,-10.0,71
1405,-3.0,99
1406,-10.0,44
1407,-14.0,43
1408,-4.0,98
1409,0.0,112
1410,-4.0,97
1411,15.0,196
1412,-15.0,43
1413,-15.0,39
1414,-15.0,25
1415,-10.0,71
1416,-10.0,44
1417,-9.0,71
1418,-10.0,44
1419,-9.0,58
1420,10.0,181
1421,-5.0,80
1422,-10.0,71
1423,-10.0,71
1424,-5.0,99
1425,-10.0,71
1426,21.0,235
1427,43.0,341
1428,25.0,262
1429,-10.0,71
1430,-10.0,71
1431,0.0,127
1432,-10.0,71
1433,-10.0,71
1434,1.0,127
1435,2.0,127
1436,-10.0,66
1437,-14.0,43
1438,-4.0,99
1439,-10.0,71
1440,-10.0,71
1441,15.0,208
1442,11.0,170
1443,21.0,235
1444,-5.0,99
1445,6.0,154
1446,-3.0,99
1447,-9.0,71
1448,-15.0,43
1449,-15.0,43
1450,60.0,443
1451,59.0,417
1452,1.0,99
1453,-15.0,43
1454,5.0,131
1455,-5.0,99
1456,20.0,235
1457,15.0,208
1458,53.0,392
1459,4.0,127
1460,0.0,127
1461,-15.0,43
1462,-15.0,43
1463,-10.0,71
1464,-5.0,95
1465,6.0,137
1466,-9.0,71
1467,-15.0,43
1468,25.0,260
1469,16.0,201
1470,-10.0,71
1471,-15.0,40
1472,-15.0,40
1473,-10.0,71
1474,-15.0,43
1475,-15.0,43
1476,7.0,154
1477,-15.0,37
1478,-10.0,71
1479,-15.0,43
1480,-10.0,43
1481,-10.0,71
1482,-10.0,71
1483,18.0,208
1484,-15.0,43
1485,0.0,102
1486,-15.0,41
1487,-15.0,43
1488,-4.0,80
1489,5.0,148
1490,-4.0,97
1491,-15.0,43
1492,-10.0,71
1493,-5.0,99
1494,12.0,163
1495,-15.0,43
1496,15.0,208
1497,-15.0,43
1498,15.0,208
1499,30.0,275
1500,-5.0,99
1501,1.0,109
1502,-15.0,43
1503,1.0,114
1504,0.0,127
1505,-10.0,71
1506,-9.0,71
1507,5.0,149
1508,-15.0,43
1509,-15.0,43
1510,-15.0,43
1511,-10.0,71
1512,-5.0,75
1513,-15.0,43
1514,-9.0,49
1515,-15.0,43
1516,11.0,181
1517,21.0,235
1518,-9.0,71
1519,-15.0,43
1520,-15.0,43
1521,-10.0,71
1522,-15.0,43
1523,-14.0,43
1524,-9.0,60
1525,-10.0,71
1526,-5.0,99
1527,1.0,109
1528,15.0,208
1529,6.0,154
1530,-10.0,71
1531,16.0,208
1532,-10.0,71
1533,11.0,181
1534,0.0,127
1535,1.0,127
1536,20.0,235
1537,-15.0,40
1538,11.0,181
1539,0.0,127
1540,-5.0,83
