episode,return,length
505,-15.0,23
506,-10.0,71
507,-15.0,24
508,-15.0,26
509,-10.0,70
510,-15.0,21
511,-15.0,24
512,-5.0,99
513,-10.0,45
514,-15.0,20
515,-15.0,23
516,-9.0,61
517,-15.0,23
518,-15.0,17
519,-15.0,33
520,-15.0,20
521,-15.0,43
522,-15.0,17
523,-15.0,30
524,-5.0,72
525,-15.0,18
526,-15.0,23
527,-15.0,16
528,-15.0,26
529,-10.0,69
530,-15.0,23
531,-15.0,40
532,-8.0,71
533,-15.0,27
534,-15.0,19
535,-9.0,52
536,-8.0,71
537,-15.0,22
538,-15.0,38
539,-15.0,24
540,-15.0,24
541,-15.0,33
542,-15.0,24
543,-9.0,48
544,-15.0,24
545,-15.0,17
546,-15.0,43
547,-15.0,35
548,-15.0,17
549,-15.0,23
550,-14.0,43
551,-10.0,47
552,-15.0,38
553,-10.0,62
554,-10.0,60
555,-15.0,18
556,-15.0,32
557,-15.0,26
558,-15.0,43
559,-15.0,23
560,-10.0,67
561,-10.0,52
562,-15.0,22
563,-15.0,22
564,-15.0,17
565,-15.0,21
566,-15.0,16
567,-15.0,18
568,-15.0,21
569,-15.0,17
570,-15.0,39
571,-15.0,21
572,-15.0,17
573,-15.0,21
574,-15.0,17
575,-15.0,18
576,-15.0,16
577,-15.0,19
578,-15.0,16
579,-15.0,23
580,-15.0,17
581,-15.0,21
582,-15.0,16
583,-15.0,18
584,-3.0,78
585,-15.0,17
586,-15.0,17
587,-15.0,19
588,-15.0,21
589,-15.0,18
590,-15.0,43
591,-15.0,22
592,-15.0,20
593,-15.0,21
594,-15.0,27
595,-5.0,83
596,-15.0,19
597,-9.0,60
598,-15.0,21
599,-15.0,18
600,-15.0,17
601,-15.0,26
602,-4.0,96
603,-15.0,43
604,-15.0,29
605,-15.0,37
606,-15.0,43
607,-9.0,63
608,-15.0,30
609,-10.0,66
610,-15.0,24
611,-15.0,17
612,-10.0,54
613,-14.0,40
614,-5.0,87
615,-15.0,17
616,-15.0,21
617,-15.0,20
618,-15.0,18
619,-15.0,23
620,-15.0,21
621,-15.0,27
622,-15.0,18
623,-15.0,18
624,-15.0,16
625,-15.0,18
626,-15.0,17
627,-15.0,15
628,-15.0,15
629,-15.0,17
630,-15.0,19
631,-15.0,16
632,-15.0,17
633,-15.0,16
634,-15.0,19
635,-10.0,49
636,-15.0,18
637,-15.0,43
638,-15.0,16
639,-15.0,17
640,-15.0,16
641,-15.0,16
642,-15.0,21
643,-15.0,24
644,-15.0,18
645,-15.0,17
646,-15.0,20
647,-15.0,19
648,-15.0,38
649,-15.0,16
650,-15.0,18
651,-10.0,59
652,-15.0,17
653,-15.0,23
654,-15.0,30
655,-15.0,23
656,1.0,119
657,-15.0,23
658,-10.0,44
659,-15.0,30
660,-15.0,31
661,-15.0,33
662,-5.0,74
663,-15.0,30
664,-10.0,57
665,-15.0,32
666,-9.0,70
667,-4.0,97
668,-15.0,36
669,-15.0,43
670,-3.0,76
671,-15.0,33
672,-15.0,43
673,-15.0,34
674,-15.0,30
675,-15.0,37
676,-15.0,41
677,-15.0,30
678,-15.0,43
679,-3.0,93
680,-15.0,30
681,-4.0,88
682,-15.0,24
683,-15.0,24
684,-15.0,43
685,-15.0,24
686,-15.0,24
687,-15.0,30
688,-4.0,99
