episode,return,length
599,15.0,208
600,15.0,208
601,25.0,262
602,10.0,181
603,0.0,127
604,-9.0,71
605,13.0,181
606,10.0,181
607,25.0,262
608,-14.0,43
609,5.0,154
610,51.0,392
611,15.0,208
612,20.0,235
613,30.0,288
614,-10.0,71
615,-4.0,99
616,16.0,208
617,1.0,127
618,0.0,127
619,-5.0,99
620,-15.0,43
621,-10.0,71
622,-5.0,99
623,-15.0,43
624,-10.0,71
625,0.0,127
626,30.0,288
627,-4.0,99
628,-5.0,99
629,-10.0,71
630,15.0,208
631,-5.0,99
632,66.0,468
633,7.0,154
634,-3.0,99
635,61.0,443
636,-4.0,99
637,6.0,154
638,20.0,235
639,0.0,127
640,30.0,288
641,1.0,127
642,10.0,181
643,35.0,314
644,-10.0,71
645,30.0,288
646,41.0,341
647,-10.0,53
648,10.0,181
649,-15.0,43
650,11.0,181
651,0.0,127
652,0.0,127
653,30.0,288
654,-4.0,99
655,-15.0,43
656,-10.0,71
657,-8.0,71
658,46.0,366
659,37.0,314
660,-15.0,43
661,-15.0,43
662,0.0,127
663,34.0,288
664,-4.0,99
665,-14.0,43
666,10.0,181
667,0.0,127
668,12.0,181
669,-4.0,99
670,-15.0,43
671,0.0,127
672,-15.0,43
673,15.0,208
674,41.0,341
675,20.0,235
676,-14.0,43
677,5.0,154
678,-10.0,71
679,10.0,181
680,-10.0,71
681,-5.0,99
682,40.0,341
683,-9.0,71
684,17.0,208
685,16.0,208
686,-5.0,99
687,0.0,127
688,15.0,208
689,-9.0,71
690,2.0,127
691,10.0,181
692,10.0,181
693,-5.0,99
694,20.0,235
695,40.0,341
696,28.0,262
697,-5.0,99
698,-5.0,99
699,10.0,181
700,-15.0,43
701,1.0,127
702,-14.0,43
703,-10.0,71
704,20.0,235
705,6.0,154
706,5.0,154
707,5.0,154
708,-5.0,99
709,-4.0,99
710,-15.0,43
711,-5.0,99
712,-15.0,43
713,20.0,235
714,-15.0,43
715,-10.0,71
716,-9.0,71
717,-15.0,43
718,15.0,208
719,5.0,154
720,16.0,208
721,-5.0,99
722,42.0,341
723,-15.0,43
724,6.0,154
725,5.0,154
726,26.0,262
727,12.0,181
728,0.0,127
729,-5.0,99
730,-10.0,71
731,6.0,154
732,10.0,181
733,-4.0,99
734,30.0,288
735,40.0,341
736,26.0,262
737,32.0,288
738,-10.0,71
739,5.0,154
740,8.0,154
741,-5.0,99
742,5.0,154
743,-5.0,99
744,36.0,314
745,53.0,392
746,30.0,288
747,16.0,208
748,-10.0,71
749,-15.0,43
750,22.0,235
751,0.0,127
752,-15.0,43
753,-15.0,43
754,15.0,208
755,6.0,154
756,20.0,235
757,-5.0,99
758,20.0,235
759,-10.0,71
760,21.0,235
761,-15.0,43
762,5.0,154
763,16.0,208
764,31.0,288
765,-15.0,43
766,-9.0,71
767,-9.0,71
768,37.0,314
769,-14.0,43
770,11.0,181
771,33.0,288
772,-10.0,71
773,-15.0,43
774,-15.0,43
775,45.0,366
776,21.0,235
777,15.0,208
778,-9.0,71
779,0.0,127
780,16.0,208
781,31.0,288
782,21.0,235
783,-10.0,71
784,-9.0,71
785,-15.0,43
786,17.0,208
787,30.0,288
788,36.0,314
789,-4.0,99
790,-4.0,99
791,20.0,235
792,36.0,314
793,-10.0,71
794,-5.0,99
795,-15.0,43
796,-5.0,99
797,17.0,208
798,-15.0,43
799,100.0,639
800,20.0,235
801,-15.0,43
802,-10.0,71
803,21.0,235
804,31.0,288
805,21.0,235
806,-10.0,71
807,-15.0,43
808,11.0,181
809,5.0,154
810,26.0,262
811,5.0,154
812,60.0,443
813,56.0,417
814,-14.0,43
815,-5.0,99
816,20.0,235
817,32.0,288
818,15.0,208
819,-9.0,71
820,-5.0,99
821,16.0,208
822,-4.0,99
823,-5.0,99
824,22.0,235
825,5.0,154
826,25.0,262
827,-9.0,71
828,6.0,154
829,-5.0,99
830,-10.0,71
831,-15.0,43
832,-4.0,99
833,25.0,262
834,-5.0,99
835,-5.0,82
836,10.0,181
837,5.0,154
838,51.0,392
839,40.0,341
840,16.0,208
841,-9.0,71
842,-9.0,71
843,0.0,127
844,28.0,262
845,5.0,154
846,-15.0,43
847,0.0,127
848,50.0,392
849,-4.0,99
850,21.0,235
851,-5.0,99
852,26.0,262
853,-15.0,43
854,5.0,154
855,25.0,262
856,-5.0,99
857,-15.0,43
858,-9.0,71
859,-10.0,71
860,-5.0,99
861,90.0,591
862,10.0,181
863,41.0,341
864,36.0,314
865,8.0,154
866,-5.0,91
867,-4.0,99
868,30.0,288
869,35.0,314
870,31.0,288
871,26.0,262
872,0.0,127
873,-10.0,71
874,-10.0,71
875,1.0,127
876,-9.0,71
877,65.0,468
878,-15.0,43
879,5.0,154
880,5.0,154
881,-15.0,43
882,-10.0,71
883,26.0,262
884,35.0,314
885,0.0,127
886,7.0,141
887,25.0,262
888,18.0,208
889,-10.0,71
890,16.0,208
891,-10.0,71
892,11.0,181
893,-15.0,43
894,-15.0,43
895,0.0,127
896,-9.0,71
897,20.0,235
898,25.0,262
899,16.0,208
900,1.0,127
901,-10.0,71
902,-15.0,43
903,-10.0,71
904,-4.0,99
905,5.0,154
906,40.0,341
907,5.0,154
908,43.0,341
909,5.0,134
910,16.0,208
911,2.0,127
912,-5.0,99
913,15.0,208
914,-15.0,43
915,37.0,314
916,5.0,147
917,54.0,392
918,-9.0,71
919,-9.0,71
920,-10.0,71
921,21.0,235
922,10.0,181
923,40.0,341
924,-5.0,99
925,-10.0,71
926,46.0,366
927,11.0,181
928,-10.0,71
929,30.0,288
930,-5.0,99
931,11.0,181
932,16.0,208
933,-5.0,99
934,15.0,208
935,15.0,189
936,31.0,288
937,-5.0,99
938,6.0,154
939,-5.0,99
940,-14.0,43
941,5.0,154
942,26.0,262
943,25.0,262
944,0.0,127
945,-4.0,99
946,1.0,127
947,34.0,288
948,5.0,154
949,-15.0,43
950,0.0,127
951,-15.0,43
952,-4.0,99
953,26.0,262
954,25.0,262
955,-10.0,71
956,-10.0,71
957,36.0,314
958,-10.0,71
959,28.0,262
960,-15.0,43
961,37.0,314
962,-9.0,71
963,-10.0,71
964,75.0,518
965,0.0,127
966,-10.0,71
967,1.0,127
968,63.0,443
969,44.0,341
970,2.0,127
971,21.0,235
972,16.0,208
973,31.0,288
974,-9.0,71
975,-14.0,43
976,23.0,235
977,30.0,288
978,-4.0,99
979,-9.0,71
980,-10.0,71
981,-15.0,43
982,-10.0,71
983,-10.0,71
984,6.0,154
985,35.0,314
986,-10.0,71
987,21.0,235
988,76.0,518
989,0.0,127
990,0.0,127
991,10.0,181
992,-10.0,71
993,6.0,154
994,-5.0,76
995,6.0,154
996,55.0,417
997,53.0,392
998,-15.0,43
999,-10.0,71
1000,-14.0,43
1001,23.0,235
1002,-5.0,99
1003,-10.0,71
1004,56.0,417
1005,1.0,127
1006,21.0,235
1007,-14.0,43
1008,20.0,235
1009,15.0,208
1010,46.0,366
1011,-10.0,71
1012,-5.0,99
1013,0.0,127
1014,-9.0,71
1015,5.0,154
1016,11.0,181
1017,-5.0,80
1018,46.0,366
1019,56.0,417
1020,16.0,208
1021,30.0,288
1022,-14.0,43
1023,50.0,392
1024,-15.0,43
1025,-14.0,43
1026,11.0,162
1027,5.0,154
1028,32.0,288
1029,0.0,127
1030,0.0,127
1031,-4.0,99
1032,-5.0,99
1033,-10.0,71
1034,56.0,417
1035,45.0,366
1036,-2.0,99
1037,-5.0,99
1038,17.0,208
1039,39.0,314
