episode,return,length
816,30.0,288
817,5.0,154
818,-15.0,43
819,-10.0,71
820,45.0,366
821,5.0,154
822,37.0,314
823,21.0,235
824,-4.0,84
825,-15.0,43
826,-10.0,71
827,20.0,235
828,15.0,208
829,10.0,181
830,29.0,262
831,20.0,235
832,0.0,127
833,20.0,235
834,-5.0,99
835,-10.0,71
836,31.0,288
837,-10.0,71
838,5.0,154
839,5.0,154
840,21.0,235
841,35.0,314
842,-4.0,99
843,-3.0,99
844,-5.0,99
845,17.0,208
846,57.0,417
847,31.0,288
848,54.0,392
849,-3.0,99
850,15.0,185
851,-15.0,43
852,2.0,127
853,54.0,392
854,12.0,168
855,14.0,181
856,3.0,127
857,35.0,314
858,7.0,154
859,-14.0,43
860,-5.0,99
861,-5.0,99
862,20.0,235
863,10.0,181
864,5.0,154
865,17.0,190
866,15.0,208
867,-9.0,71
868,25.0,262
869,-15.0,43
870,25.0,262
871,28.0,262
872,-10.0,71
873,15.0,208
874,-10.0,71
875,6.0,154
876,-9.0,71
877,5.0,154
878,-10.0,71
879,-9.0,71
880,45.0,366
881,2.0,127
882,-5.0,99
883,26.0,262
884,-8.0,71
885,64.0,443
886,-9.0,71
887,-15.0,43
888,55.0,417
889,-14.0,43
890,27.0,262
891,16.0,208
892,-15.0,43
893,-4.0,99
894,-10.0,71
895,-15.0,43
896,-15.0,43
897,50.0,392
898,-5.0,74
899,65.0,468
900,56.0,398
901,-10.0,53
902,-15.0,43
903,-15.0,43
904,1.0,127
905,10.0,181
906,-15.0,43
907,7.0,128
908,10.0,181
909,35.0,314
910,-15.0,43
911,20.0,235
912,42.0,341
913,40.0,341
914,25.0,262
915,21.0,235
916,-14.0,43
917,1.0,127
918,6.0,154
919,-14.0,43
920,-10.0,71
921,20.0,235
922,31.0,288
923,10.0,181
924,35.0,314
925,-10.0,71
926,66.0,468
927,20.0,235
928,5.0,154
929,-5.0,99
930,-5.0,99
931,26.0,262
932,26.0,262
933,22.0,235
934,31.0,288
935,5.0,154
936,45.0,366
937,26.0,235
938,-15.0,43
